,Data60
x0_1300D/2P 30EPI,0.40668779611587524
x0_HTLS 1500D/2P 47.4/5cm,0.29010555148124695
x1_WKD180,0.11800092458724976
x0_2000D/2P 25EPI,0.054802991449832916
x0_1300D/2P 32EPI,0.02555541880428791
x3_CLASSE PREMIERE CP671,0.007936442270874977
x3_AS-S01,0.00496319867670536
x1_WMP180,0.003971007652580738
x0_PET 1300D/2P 28EPI,0.0030624093487858772
x0_HTLS 1500D/2P-55.1/5cm,0.0027372543700039387
Data51,0.0022026204969733953
Data41,0.0021809455938637257
x6_TY14,0.0018990810494869947
x6_TE94,0.001869629486463964
x3_EUROVIS Sport 04,0.0018244710518047214
"x0_PET 1500d/2p 28EPI (양변부 #2,3 고신도사)",0.0017790168058127165
x3_N'priz 4S,0.001691586570814252
x6_TZ20,0.0015283413231372833
x10_B335,0.0014883249532431364
x6_T107,0.0014163425657898188
x0_CORDENKA SUPER3 1650D/2P 28EPI,0.0014116878155618906
x7_C938,0.001395876519382
x1_SC1875,0.001371737103909254
x7_CZ34,0.0012470845831558108
x1_SB1811,0.0012461647856980562
x5_S,0.0012392762582749128
x1_WKD150,0.0012355814687907696
x6_T435,0.0012298452202230692
x4_X,0.0011854131007567048
x9_BF76,0.0011823816457763314
Data6,0.0010692101204767823
x2_NYLON-66 1260D/1P,0.0010381067404523492
Data22,0.0009802698623389006
x3_ASPEN GT-AS,0.0009760733228176832
"x0_2000D/2P 25EPI (양변부 #2,3 고신도사)",0.0009402448195032775
x6_T455,0.0009319623932242393
x6_TD94,0.0008582138107158244
x1_SE2018,0.0008536324603483081
x6_TW28,0.000851232442073524
x1_WSD205,0.000840674911160022
x1_WSD240,0.0008130937349051237
x0_HTLS 1000D/2P 55.1/5cm,0.0007898740586824715
x2_NYLON-66 840D/2P 28EPI,0.0007501523359678686
Data14,0.0007359746377915144
x6_T390,0.0007297866977751255
x3_ROADIAN HTX 2,0.0007297330303117633
x3_N'blue Eco,0.0007140567759051919
x2_[AR/N66] HYBRID 1000/840,0.0007132234168238938
x3_WINGUARD Snow'G 3,0.000674247567076236
x3_CLASSE PREMIERE CP661,0.0006586902891285717
x6_TE92,0.0006299316883087158
x6_TC81,0.0006255393382161856
x1_WKD_180,0.0006093496340326965
x12_2F,0.0006046067574061453
x3_WINGUARD Snow'G,0.0005952819483354688
x1_WCP180,0.0005883366102352738
x3_ARIA AH7,0.0005856165080331266
x3_N'blue Eco AH01,0.0005685839569196105
x3_N'blue 4Season,0.0005518177058547735
x6_TV55,0.0005242028273642063
x3_ROADIAN AT Pro RA8,0.0005177271668799222
x8_WP30,0.0005170709337107837
x6_TB10,0.0005140568246133626
x1_WHB_146,0.0004990917514078319
Data21,0.000497809611260891
x3_RAPTIS R-T5,0.0004923168453387916
x0_1260D/2P-50.0/5cm,0.0004922820953652263
x0_CORDENKA 700 SUPER3 2200 D/2P 25.4EPI,0.0004780479648616165
Data38,0.0004592487821355462
x3_N'FERA Primus QX,0.0004455804591998458
Data11,0.00042844301788136363
x3_N'FERA Primus,0.00042654998833313584
x6_T467,0.0004249915655236691
x6_T314,0.00039820533129386604
x7_C934,0.0003929150989279151
x9_RX25,0.0003877348208334297
x9_RP25,0.0003855649847537279
x3_N'FERA Primus UX,0.00036850778269581497
x6_TD81,0.0003673718892969191
Data17,0.000349792477209121
x3_N'priz AH8,0.00034747886820696294
x2_[AR/N66] HYBRID 1500/1260,0.000335066084517166
x6_TB71,0.0003269771987106651
x6_TZ95,0.00032642961014062166
x1_WCD180,0.00032037714845500886
x6_TC73,0.00031540769850835204
x8_WL30,0.000313328841002658
x7_CE37,0.0002993193920701742
x3_Sceptor 4XS,0.0002946486638393253
x12_1A,0.00029055564664304256
x10_BF35|BF35,0.00028831756208091974
x4_D,0.00028627304709516466
x3_N'priz CX,0.00028383650351315737
x4_F,0.000282815977698192
x7_CH37,0.00028213486075401306
x10_W711,0.0002715791342779994
x6_T357,0.00026428521960042417
x10_WB11,0.0002636254648678005
x6_TR89,0.000261858687736094
x6_T551,0.0002607484348118305
x6_T336,0.0002601073356345296
x10_BK35,0.0002530445344746113
x6_T570,0.0002448286977596581
x3_N'FERA RU1,0.00024253664014395326
x9_B776,0.000238490552874282
x6_TH39,0.00023478698858525604
x1_WHB146,0.00023120087280403823
x2_NYLON-66 1260D/2P 25EPI,0.0002287747774971649
x3_N'FERA SUR4G,0.00022870108659844846
x3_N'priz SH9i,0.00022798520512878895
x6_TA27,0.00022424847702495754
