,Data62
x6_TV62,0.1212993711233139
Data11,0.11644430458545685
x11_2P,0.09456406533718109
x3_N'FERA Primus QX,0.05872904136776924
x6_TY62,0.026941804215312004
Data17,0.023459354415535927
x3_N'FERA Primus V,0.021933022886514664
x4_X,0.02038084901869297
x6_T374,0.01815933734178543
x6_TD81,0.017658842727541924
x7_CE37,0.017567289993166924
x3_N'FERA Primus AS T1,0.016668617725372314
x0_2000D/2P 25EPI,0.01624877005815506
x4_D,0.01584511809051037
x10_BA47,0.011653013527393341
x6_TC73,0.011466520838439465
x0_HTLS 1000D/2P 55.1/5cm,0.011352451518177986
"x0_PET 1500d/2p 28EPI (양변부 #2,3 고신도사)",0.010296735912561417
x3_TERRA TRAC CROSS-V,0.009217281825840473
x1_WSD240,0.008810963481664658
x0_PET 1300D/2P 28EPI,0.008126764558255672
x3_N'priz GX,0.008107251487672329
x2_NYLON-66 840D/2P 28EPI,0.007549978792667389
x10_B335,0.007233003154397011
x1_SB1811,0.007206495851278305
Data37,0.007095297798514366
x6_TD89,0.007005895487964153
x3_N'priz S,0.0068064285442233086
x6_TZ69,0.006600639317184687
x6_TD94,0.006361933425068855
x4_F,0.0061661177314817905
x6_TY57,0.006113090086728334
x6_T390,0.005677393637597561
x6_TZ57,0.005120334681123495
x12_1F,0.00498025119304657
x3_N'FERA Primus UX,0.004890576470643282
x1_WSD205,0.004827495198696852
Data27,0.0046572196297347546
x3_ROADIAN HTX 2,0.004648740869015455
x3_N'priz 4S,0.004315180703997612
x12_1A,0.004276569001376629
x0_HTLS 1500D/2P 47.4/5cm,0.004198810551315546
x6_TP64,0.00414331303909421
x3_ROADIAN AT Pro RA8,0.004001879598945379
x2_[AR/N66] HYBRID 1000/840,0.003954913467168808
x10_WC11,0.003906326834112406
x6_TX70,0.003864850616082549
x3_CLASSE PREMIERE CP671,0.0038493366446346045
Data30,0.0038169133476912975
x11_1P,0.0037433404941111803
x0_HTLS 1500D/2P-55.1/5cm,0.0035702954046428204
x6_TA64,0.003561013378202915
x1_SC1875,0.003448482370004058
x6_TX59,0.0033740971703082323
x0_CORDENKA 700 SUPER3 2200 D/2P 25.4EPI,0.0032438463531434536
x6_TW28,0.003193596377968788
x1_SE2018,0.003175918245688081
x6_TH14,0.003068039659410715
x6_T435,0.0029701213352382183
x3_N7000 Plus,0.002964933170005679
x3_MI2,0.002917378908023238
x6_TJ80,0.00277278502471745
Data24,0.00276497146114707
x9_BP76,0.0027174202259629965
x8_W730,0.0026629879139363766
x6_TG14,0.002654368057847023
x3_AS-S01,0.0026486136484891176
x7_C027,0.0025483090430498123
x0_1300D/2P 32EPI,0.002541118999943137
x3_ROADIAN HTX,0.0024947505444288254
x12_2F,0.0024248245172202587
x3_Winter LTR,0.002357027493417263
x6_TZ95,0.002296837279573083
x1_WHB_146,0.0022825582418590784
x3_ASPEN GT-AS,0.0022398801520466805
x8_WL30,0.002194707514718175
x2_NYLON-66 1260D/1P,0.0021526184864342213
x0_CORDENKA SUPER3 1650D/2P 28EPI,0.002034887671470642
Data6,0.0019468757091090083
x3_WINGUARD Snow'G 3,0.001893441891297698
x12_2G,0.0018308310536667705
x6_T440,0.0018188912654295564
x10_WB11,0.0017900202656164765
x3_N'priz AH8,0.0017846404807642102
x1_WKD_180,0.0017740095499902964
x3_N'FERA SU1,0.0016895841108635068
Data22,0.0016444390639662743
x6_TB10,0.0016104447422549129
x3_CLASSE PREMIERE CP661,0.001608848455362022
x6_T394,0.0015422172145918012
x6_TA16,0.001538039417937398
x6_TC24,0.0014636100968346
Data58,0.0014576469548046589
x1_WKD150,0.0014497191878035665
x2_[AR/N66] HYBRID 1500/1260,0.0014455114724114537
x6_TA27,0.001410600496456027
Data10,0.001401325105689466
x7_CP27,0.0013757337583228946
Data21,0.0013746705371886492
x3_RAPTIS R-T5,0.0013625307474285364
x6_TU59,0.0013126566773280501
x10_BF35|BF35,0.0012937792344018817
x10_WG11,0.0012916673440486193
x6_T572,0.0012643445516005158
x3_ROADIAN CTX,0.0012531968532130122
Data33,0.001224743202328682
Data14,0.0011995312524959445
x7_CA27,0.0011891864705830812
x4_S,0.0011861698003485799
x5_S,0.0011749787954613566
x6_T371,0.0011739322217181325
x3_EUROVIS Alpine WH1,0.001157039892859757
x3_N'priz SH9i,0.0011539235711097717
x1_WKD180,0.001112830825150013
x3_N'blue ROYAL,0.0010856454027816653
x1_WHB146,0.0010710865026339889
x7_CA36,0.0010546277044340968
x6_TC81,0.0010519184870645404
x1_WCD180,0.0010465373052284122
x6_T430,0.0010351529344916344
x2_NYLON-66 1260D/2P 25EPI,0.0010020245099440217
x6_TH20,0.0009813773212954402
x6_T570,0.000977254705503583
x3_N'blue HD,0.0009651252767071128
x6_T239,0.000949663866776973
x0_1300D/2P 30EPI,0.0009394181543029845
x3_N'FERA AU7,0.0009154209983535111
x6_T573,0.0008836837951093912
x10_B170,0.0008766346727497876
x6_T314,0.0008647096110507846
x1_WCP180,0.0008645639172755182
x6_TA20,0.0008218371076509356
x6_TZ20,0.000759132846724242
x3_ROADIAN CT8,0.0007525021792389452
x6_TC80,0.0007359915180131793
Data59,0.0007337448769249022
x6_TW92,0.0007169704185798764
x6_T593,0.0007022391655482352
x6_TA25,0.0007012361893430352
x3_ROADIAN HP,0.0006986379157751799
x6_TA57,0.0006942299660295248
x6_TY14,0.000694148417096585
x6_TK70,0.0006901623564772308
x6_TA86,0.0006668585119768977
x3_N'blue Eco AH01,0.0006552246632054448
x6_T410,0.0006519826711155474
x6_T107,0.0006470605148933828
x3_WINGUARD Snow'G 2,0.000635463569778949
x3_EUROVIS HP01,0.0006297462969087064
x6_TB38,0.0005776204634457827
x1_WSD200,0.000568600429687649
x6_TK80,0.0005442551919259131
Data23,0.0005340824136510491
x10_W711,0.0005136766703799367
x6_T467,0.0005119314882904291
x3_Sceptor 4XS,0.0004924862296320498
Data15,0.0004914706805720925
x3_i.Q series 1,0.00048700772458687425
Data12,0.00047614556387998164
x6_T495,0.000469681661343202
x3_N'FERA RU1,0.000468431506305933
x6_T549,0.0004647640453185886
x6_TV92,0.0004641851701308042
x6_TV55,0.0004599043168127537
Data34,0.0004584086418617517
"x0_2000D/2P 25EPI (양변부 #2,3 고신도사)",0.00045250396942719817
x9_RP25,0.00045042092096991837
x6_TC64,0.00043957759044133127
x6_TB95,0.00043766232556663454
x7_CZ34,0.00043702207040041685
x3_N'FERA SUR4G,0.0004317401035223156
x1_WMP180,0.0004192132328171283
x6_TB64,0.0004128982836846262
x6_TZ30,0.00041264985338784754
x0_1260D/2P-50.0/5cm,0.00040202387026511133
x6_TA73,0.0003990699187852442
x6_TA71,0.0003970233956351876
x6_TB71,0.0003789610927924514
x3_N'FERA Sport,0.00037429857184179127
x6_T336,0.00037176930345594883
Data41,0.00037017298745922744
x10_B170|B170,0.00036866156733594835
x6_TB67,0.0003555537841748446
x1_WCD150,0.0003498788282740861
Data38,0.00034605100518092513
x6_TP20,0.00032859217026270926
x6_TV28,0.000321622850606218
x6_TP30,0.00032136368099600077
x6_T219,0.0003206907131243497
